Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
BusinessWorld,US SEC approves bitcoin ETFs in watershed for crypto market,"WASHINGTON/NEW YORK &#8211; The US securities regulator on Wednesday approved the first US-listed exchange traded funds (ETFs) to track bitcoin, in a watershed for the world&#8217;s largest cryptocurrency and the broader crypto industry. The Securities and Exchange Commission said it approved 11 applications, including from BlackRock, Ark Investments/21Shares, Fidelity, Invesco and VanEck, despite warnings from some officials and investor advocates [&#8230;]",https://www.bworldonline.com/technology/2024/01/11/568294/us-sec-approves-bitcoin-etfs-in-watershed-for-crypto-market/,Business World,https://www.bworldonline.com/wp-content/uploads/2023/02/Bitcoin-cryto-currency-trading-300x200.jpg,business,en,us,2024-01-11T02:31:57+00:00
U.Today,Ethereum (ETH) Loses Fight Against Bitcoin (BTC): No Alt Season?,Ethereum (ETH) Loses Fight Against Bitcoin (BTC): No Alt Season?,https://www.investing.com/news/cryptocurrency-news/ethereum-eth-loses-fight-against-bitcoin-btc-no-alt-season-3271921,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXNPED840XB_M.jpg,business,en,us,2024-01-11T02:00:23+00:00
Lionel Laurent,Bitcoin ETF Hype Is More Memestock Than Gold 2.0,Bitcoin ETF Hype Is More Memestock Than Gold 2.0,https://www.ndtvprofit.com/view/sec-approves-bitcoin-etf-crypto-hype-is-more-memestock-than-gold-2-0,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T01:59:30+00:00
Muyao Shen,"Bitcoin Briefly Tops $47,000 in Cool Response to US ETF Approval","Bitcoin Briefly Tops $47,000 in Cool Response to US ETF Approval",https://www.ndtvprofit.com/crypto/bitcoin-holds-gain-of-about-1-after-sec-approves-spot-etfs,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T01:58:37+00:00
Katie Greifeld,SEC Authorizes Bitcoin-Spot ETFs In Crypto’s Breakthrough,SEC Authorizes Bitcoin-Spot ETFs In Crypto’s Breakthrough,https://www.ndtvprofit.com/crypto/spot-bitcoin-etfs-approved-to-launch-in-us-by-gensler-s-sec,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T01:29:50+00:00
,"US SEC authorises direct bitcoin-spot ETFs, revolutionising crypto investments","Industry leaders, including BlackRock, Invesco, and Fidelity, received authorisation to launch these direct ETFs, broadening access to Bitcoin for investors.",https://www.thehindubusinessline.com/money-and-banking/cryptocurrency/us-sec-authorises-direct-bitcoin-spot-etfs-revolutionising-crypto-investments/article67729322.ece,Business Line,https://bl-i.thgim.com/public/incoming/za87s7/article67729326.ece/alternates/LANDSCAPE_1200/bitcoin.jpg,business,en,us,2024-01-11T01:03:06+00:00
,The decade-long journey to a US spot bitcoin ETF,"The approval signals a turning point, boosting confidence as major issuers, including BlackRock and Fidelity, prepare to launch spot bitcoin ETFs.",https://www.thehindubusinessline.com/money-and-banking/cryptocurrency/the-decade-long-journey-to-a-us-spot-bitcoin-etf/article67729315.ece,Business Line,https://bl-i.thgim.com/public/incoming/h39pra/article67729321.ece/alternates/LANDSCAPE_1200/2024-01-10T110825Z_1263622244_RC2YY3AHW7ZD_RTRMADP_3_FINTECH-CRYPTO-ETF.JPG,business,en,us,2024-01-11T00:47:54+00:00
Richard Henderson,"Asia Stocks Eye Gains; Bitcoin Rises Above $47,000: Markets Wrap","Asia Stocks Eye Gains; Bitcoin Rises Above $47,000: Markets Wrap",https://www.ndtvprofit.com/markets/stock-market-today-dow-s-p-live-updates-143,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T00:13:30+00:00
Reuters,US congressional panel seeks briefing from SEC on fake post on bitcoin ETFs,US congressional panel seeks briefing from SEC on fake post on bitcoin ETFs,https://www.investing.com/news/stock-market-news/us-congressional-panel-seeks-briefing-from-sec-on-fake-post-on-bitcoin-etfs-3271901,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK090XL_L.jpg,business,en,us,2024-01-10T23:45:46+00:00
,Bitcoin price rises in aftermath of spot ETF approvals,Bitcoin price rises in aftermath of spot ETF approvals,https://seekingalpha.com/news/4054132-bitcoin-price-rises-aftermath-spot-etf-approvals?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-10T23:05:43+00:00
